Country,Year,Month_Number,Total_Cases,Total_Deaths,Vaccinated_Per_100,Population,Month_Name
Afghanistan,2020,1,0,0,0,41128772,January
Afghanistan,2020,2,0,0,0,41128772,February
Afghanistan,2020,3,91,2,0,41128772,March
Afghanistan,2020,4,1330,43,0,41128772,April
Afghanistan,2020,5,14443,248,0,41128772,May
Afghanistan,2020,6,30616,703,0,41128772,June
Afghanistan,2020,7,36036,1246,0,41128772,July
Afghanistan,2020,8,38143,1402,0,41128772,August
Afghanistan,2020,9,39192,1453,0,41128772,September
Afghanistan,2020,10,40768,1511,0,41128772,October
Afghanistan,2020,11,45966,1752,0,41128772,November
Afghanistan,2020,12,51848,2158,0,41128772,December
Afghanistan,2021,1,55023,2400,0,41128772,January
Afghanistan,2021,2,55714,2443,0,41128772,February
Afghanistan,2021,3,56294,2470,0,41128772,March
Afghanistan,2021,4,58843,2582,0,41128772,April
Afghanistan,2021,5,70761,2919,0,41128772,May
Afghanistan,2021,6,114220,4650,0.46,41128772,June
Afghanistan,2021,7,143871,6425,0,41128772,July
Afghanistan,2021,8,153033,7109,0,41128772,August
Afghanistan,2021,9,154899,7199,0,41128772,September
Afghanistan,2021,10,156088,7272,0,41128772,October
Afghanistan,2021,11,157190,7308,0,41128772,November
Afghanistan,2021,12,157902,7352,0,41128772,December
Afghanistan,2022,1,161666,7407,9.46,41128772,January
Afghanistan,2022,2,173180,7588,0,41128772,February
Afghanistan,2022,3,177474,7660,0,41128772,March
Afghanistan,2022,4,178648,7681,0,41128772,April
Afghanistan,2022,5,180123,7701,0,41128772,May
Afghanistan,2022,6,182072,7717,12.31,41128772,June
Afghanistan,2022,7,185580,7747,0,41128772,July
Afghanistan,2022,8,192208,7774,24.17,41128772,August
Afghanistan,2022,9,198283,7796,0,41128772,September
Afghanistan,2022,10,202834,7821,0,41128772,October
Afghanistan,2022,11,205596,7833,0,41128772,November
Afghanistan,2022,12,207322,7845,0,41128772,December
Afghanistan,2023,1,208420,7866,0,41128772,January
Afghanistan,2023,2,209251,7878,30.93,41128772,February
Afghanistan,2023,3,210080,7882,0,41128772,March
Afghanistan,2023,4,214880,7892,34.2,41128772,April
Afghanistan,2023,5,221217,7915,0,41128772,May
Afghanistan,2023,6,223156,7928,0,41128772,June
Afghanistan,2023,7,224224,7935,0,41128772,July
Afghanistan,2023,8,225099,7942,0,41128772,August
Afghanistan,2023,9,225999,7947,0,41128772,September
Afghanistan,2023,10,227539,7953,0,41128772,October
Afghanistan,2023,11,228975,7963,0,41128772,November
Afghanistan,2023,12,230375,7973,44.67,41128772,December
Afghanistan,2024,1,231310,7981,0,41128772,January
Afghanistan,2024,2,232221,7983,0,41128772,February
Afghanistan,2024,3,233340,7996,0,41128772,March
Afghanistan,2024,4,234576,7997,0,41128772,April
Afghanistan,2024,5,235214,7998,0,41128772,May
Afghanistan,2024,6,235214,7998,0,41128772,June
Afghanistan,2024,7,235214,7998,0,41128772,July
Afghanistan,2024,8,235214,7998,0,41128772,August
Africa,2020,1,0,0,0,1426736614,January
Africa,2020,2,1,0,0,1426736614,February
Africa,2020,3,4566,140,0,1426736614,March
Africa,2020,4,31322,1765,0,1426736614,April
Africa,2020,5,144578,4417,0,1426736614,May
Africa,2020,6,378949,11954,0,1426736614,June
Africa,2020,7,836826,20280,0,1426736614,July
Africa,2020,8,1243540,31987,0,1426736614,August
Africa,2020,9,1461753,37877,0,1426736614,September
Africa,2020,10,1721606,43080,0,1426736614,October
Africa,2020,11,2166439,52021,0,1426736614,November
Africa,2020,12,2662452,62634,0,1426736614,December
Africa,2021,1,3577719,90631,0,1426736614,January
Africa,2021,2,3923620,103693,0.02,1426736614,February
Africa,2021,3,4220706,112165,0.28,1426736614,March
Africa,2021,4,4549240,120287,0.34,1426736614,April
Africa,2021,5,4875620,130531,0.59,1426736614,May
Africa,2021,6,5446201,141345,1.1,1426736614,June
Africa,2021,7,6511749,164544,1.59,1426736614,July
Africa,2021,8,7827208,195578,2.68,1426736614,August
Africa,2021,9,8355900,209996,4.23,1426736614,September
Africa,2021,10,8601880,218682,5.66,1426736614,October
Africa,2021,11,8773516,223336,6.96,1426736614,November
Africa,2021,12,9634415,227755,8.74,1426736614,December
Africa,2022,1,11068160,239192,10.33,1426736614,January
Africa,2022,2,11691015,249264,11.78,1426736614,February
Africa,2022,3,11909793,252549,14.57,1426736614,March
Africa,2022,4,12047198,253684,15.74,1426736614,April
Africa,2022,5,12323054,254943,16.52,1426736614,May
Africa,2022,6,12487928,255917,17.89,1426736614,June
Africa,2022,7,12739160,257054,20.07,1426736614,July
Africa,2022,8,12823672,257554,21.48,1426736614,August
Africa,2022,9,12868684,257805,22.59,1426736614,September
Africa,2022,10,12905934,258043,24.65,1426736614,October
Africa,2022,11,12953427,258251,26.02,1426736614,November
Africa,2022,12,12994425,258487,27.47,1426736614,December
Africa,2023,1,13035459,258650,28.04,1426736614,January
Africa,2023,2,13052935,258740,29.08,1426736614,February
Africa,2023,3,13071522,258821,29.72,1426736614,March
Africa,2023,4,13082021,258899,30.33,1426736614,April
Africa,2023,5,13092055,258949,30.86,1426736614,May
Africa,2023,6,13101062,258986,31.19,1426736614,June
Africa,2023,7,13105823,259004,31.91,1426736614,July
Africa,2023,8,13108916,259017,32.04,1426736614,August
Africa,2023,9,13112786,259023,32.27,1426736614,September
Africa,2023,10,13115812,259037,32.36,1426736614,October
Africa,2023,11,13120534,259055,32.41,1426736614,November
Africa,2023,12,13133432,259066,32.41,1426736614,December
Africa,2024,1,13138965,259084,0,1426736614,January
Africa,2024,2,13140647,259092,0,1426736614,February
Africa,2024,3,13141628,259097,0,1426736614,March
Africa,2024,4,13142500,259103,0,1426736614,April
Africa,2024,5,13143286,259103,0,1426736614,May
Africa,2024,6,13144654,259105,0,1426736614,June
Africa,2024,7,13145344,259117,0,1426736614,July
Africa,2024,8,13145380,259117,0,1426736614,August
Albania,2020,1,0,0,0,2842318,January
Albania,2020,2,0,0,0,2842318,February
Albania,2020,3,186,8,0,2842318,March
Albania,2020,4,678,27,0,2842318,April
Albania,2020,5,1099,33,0,2842318,May
Albania,2020,6,2269,51,0,2842318,June
Albania,2020,7,4570,128,0,2842318,July
Albania,2020,8,9195,271,0,2842318,August
Albania,2020,9,13045,373,0,2842318,September
Albania,2020,10,18556,469,0,2842318,October
Albania,2020,11,36245,771,0,2842318,November
Albania,2020,12,55380,1134,0,2842318,December
Albania,2021,1,76350,1358,0,2842318,January
Albania,2021,2,105229,1756,0,2842318,February
Albania,2021,3,123216,2192,0,2842318,March
Albania,2021,4,130270,2367,0,2842318,April
Albania,2021,5,132285,2448,10.21,2842318,May
Albania,2021,6,132506,2455,14.2,2842318,June
Albania,2021,7,132828,2456,18.6,2842318,July
Albania,2021,8,143174,2487,22.58,2842318,August
Albania,2021,9,166690,2619,27.97,2842318,September
Albania,2021,10,184340,2909,0,2842318,October
Albania,2021,11,198732,3077,33.81,2842318,November
Albania,2021,12,207221,3187,0,2842318,December
Albania,2022,1,255741,3334,0,2842318,January
Albania,2022,2,271314,3460,0,2842318,February
Albania,2022,3,273318,3490,42.88,2842318,March
Albania,2022,4,274685,3496,0,2842318,April
Albania,2022,5,276012,3497,0,2842318,May
Albania,2022,6,278211,3497,0,2842318,June
Albania,2022,7,309278,3538,44.17,2842318,July
Albania,2022,8,326815,3580,0,2842318,August
Albania,2022,9,330762,3589,0,2842318,September
Albania,2022,10,331745,3593,0,2842318,October
Albania,2022,11,332202,3594,0,2842318,November
Albania,2022,12,332670,3596,0,2842318,December
Albania,2023,1,333219,3596,0,2842318,January
Albania,2023,2,333483,3598,0,2842318,February
Albania,2023,3,333799,3601,0,2842318,March
Albania,2023,4,334090,3604,0,2842318,April
Albania,2023,5,334090,3604,0,2842318,May
Albania,2023,6,334090,3604,0,2842318,June
Albania,2023,7,334090,3604,0,2842318,July
Albania,2023,8,334090,3604,0,2842318,August
Albania,2023,9,334090,3604,0,2842318,September
Albania,2023,10,334090,3604,0,2842318,October
Albania,2023,11,334408,3604,0,2842318,November
Albania,2023,12,334596,3604,0,2842318,December
Albania,2024,1,334863,3605,0,2842318,January
Albania,2024,2,334959,3605,0,2842318,February
Albania,2024,3,335028,3605,0,2842318,March
Albania,2024,4,335043,3605,0,2842318,April
Albania,2024,5,335047,3605,0,2842318,May
Albania,2024,6,335047,3605,0,2842318,June
Albania,2024,7,335047,3605,0,2842318,July
Albania,2024,8,335047,3605,0,2842318,August
Algeria,2020,1,0,0,0,44903228,January
Algeria,2020,2,0,0,0,44903228,February
Algeria,2020,3,454,30,0,44903228,March
Algeria,2020,4,3256,416,0,44903228,April
Algeria,2020,5,9267,643,0,44903228,May
Algeria,2020,6,12968,880,0,44903228,June
Algeria,2020,7,26764,1134,0,44903228,July
Algeria,2020,8,43782,1489,0,44903228,August
Algeria,2020,9,50914,1709,0,44903228,September
Algeria,2020,10,55630,1897,0,44903228,October
Algeria,2020,11,81212,2393,0,44903228,November
Algeria,2020,12,97857,2722,0,44903228,December
Algeria,2021,1,107122,2888,0,44903228,January
Algeria,2021,2,112960,2979,0,44903228,February
Algeria,2021,3,116750,3077,0,44903228,March
Algeria,2021,4,120736,3198,0,44903228,April
Algeria,2021,5,128456,3460,0,44903228,May
Algeria,2021,6,138113,3685,0,44903228,June
Algeria,2021,7,160868,4042,0,44903228,July
Algeria,2021,8,194671,5179,0,44903228,August
Algeria,2021,9,202574,5767,0,44903228,September
Algeria,2021,10,206358,5918,0,44903228,October
Algeria,2021,11,209980,6052,12.01,44903228,November
Algeria,2021,12,216376,6229,0,44903228,December
Algeria,2022,1,249310,6555,0,44903228,January
Algeria,2022,2,264778,6828,0,44903228,February
Algeria,2022,3,265621,6873,0,44903228,March
Algeria,2022,4,265761,6874,0,44903228,April
Algeria,2022,5,265873,6875,0,44903228,May
Algeria,2022,6,266030,6875,0,44903228,June
Algeria,2022,7,267374,6876,0,44903228,July
Algeria,2022,8,270175,6878,0,44903228,August
Algeria,2022,9,270643,6879,0,44903228,September
Algeria,2022,10,270836,6881,0,44903228,October
Algeria,2022,11,271061,6881,0,44903228,November
Algeria,2022,12,271194,6881,0,44903228,December
Algeria,2023,1,271369,6881,0,44903228,January
Algeria,2023,2,271439,6881,0,44903228,February
Algeria,2023,3,271568,6881,0,44903228,March
Algeria,2023,4,271712,6881,0,44903228,April
Algeria,2023,5,271835,6881,0,44903228,May
Algeria,2023,6,271847,6881,0,44903228,June
Algeria,2023,7,271852,6881,0,44903228,July
Algeria,2023,8,271871,6881,0,44903228,August
Algeria,2023,9,271895,6881,0,44903228,September
Algeria,2023,10,271940,6881,0,44903228,October
Algeria,2023,11,271991,6881,0,44903228,November
Algeria,2023,12,272010,6881,0,44903228,December
Algeria,2024,1,272010,6881,0,44903228,January
Algeria,2024,2,272010,6881,0,44903228,February
Algeria,2024,3,272017,6881,0,44903228,March
Algeria,2024,4,272027,6881,0,44903228,April
Algeria,2024,5,272032,6881,0,44903228,May
Algeria,2024,6,272046,6881,0,44903228,June
Algeria,2024,7,272121,6881,0,44903228,July
Algeria,2024,8,272139,6881,0,44903228,August
American Samoa,2020,1,0,0,0,44295,January
American Samoa,2020,2,0,0,0,44295,February
American Samoa,2020,3,0,0,0,44295,March
American Samoa,2020,4,0,0,0,44295,April
American Samoa,2020,5,0,0,0,44295,May
American Samoa,2020,6,0,0,0,44295,June
American Samoa,2020,7,0,0,0,44295,July
American Samoa,2020,8,0,0,0,44295,August
American Samoa,2020,9,0,0,0,44295,September
American Samoa,2020,10,0,0,0,44295,October
American Samoa,2020,11,0,0,0,44295,November
American Samoa,2020,12,0,0,0,44295,December
American Samoa,2021,1,0,0,0,44295,January
American Samoa,2021,2,0,0,0,44295,February
American Samoa,2021,3,0,0,0,44295,March
American Samoa,2021,4,0,0,0,44295,April
American Samoa,2021,5,0,0,0,44295,May
American Samoa,2021,6,0,0,0,44295,June
American Samoa,2021,7,0,0,0,44295,July
American Samoa,2021,8,0,0,0,44295,August
American Samoa,2021,9,1,0,0,44295,September
American Samoa,2021,10,4,0,0,44295,October
American Samoa,2021,11,5,0,0,44295,November
American Samoa,2021,12,11,0,0,44295,December
American Samoa,2022,1,18,0,0,44295,January
American Samoa,2022,2,84,0,0,44295,February
American Samoa,2022,3,3278,2,0,44295,March
American Samoa,2022,4,5765,23,0,44295,April
American Samoa,2022,5,6145,31,0,44295,May
American Samoa,2022,6,6505,31,0,44295,June
American Samoa,2022,7,7766,33,0,44295,July
American Samoa,2022,8,8168,34,0,44295,August
American Samoa,2022,9,8247,34,0,44295,September
American Samoa,2022,10,8257,34,0,44295,October
American Samoa,2022,11,8264,34,0,44295,November
American Samoa,2022,12,8266,34,0,44295,December
American Samoa,2023,1,8320,34,0,44295,January
American Samoa,2023,2,8320,34,0,44295,February
American Samoa,2023,3,8324,34,0,44295,March
American Samoa,2023,4,8329,34,0,44295,April
American Samoa,2023,5,8331,34,0,44295,May
American Samoa,2023,6,8332,34,0,44295,June
American Samoa,2023,7,8341,34,0,44295,July
American Samoa,2023,8,8341,34,0,44295,August
American Samoa,2023,9,8359,34,0,44295,September
American Samoa,2023,10,8359,34,0,44295,October
American Samoa,2023,11,8359,34,0,44295,November
American Samoa,2023,12,8359,34,0,44295,December
American Samoa,2024,1,8359,34,0,44295,January
American Samoa,2024,2,8359,34,0,44295,February
American Samoa,2024,3,8359,34,0,44295,March
American Samoa,2024,4,8359,34,0,44295,April
American Samoa,2024,5,8359,34,0,44295,May
American Samoa,2024,6,8359,34,0,44295,June
American Samoa,2024,7,8359,34,0,44295,July
American Samoa,2024,8,8359,34,0,44295,August
Andorra,2020,1,0,0,0,79843,January
Andorra,2020,2,0,0,0,79843,February
Andorra,2020,3,341,6,0,79843,March
Andorra,2020,4,738,40,0,79843,April
Andorra,2020,5,764,51,0,79843,May
Andorra,2020,6,855,52,0,79843,June
Andorra,2020,7,897,52,0,79843,July
Andorra,2020,8,1124,53,0,79843,August
Andorra,2020,9,1836,53,0,79843,September
Andorra,2020,10,4038,69,0,79843,October
Andorra,2020,11,6610,76,0,79843,November
Andorra,2020,12,7806,83,0,79843,December
Andorra,2021,1,9885,101,0,79843,January
Andorra,2021,2,10849,110,0,79843,February
Andorra,2021,3,11809,115,0,79843,March
Andorra,2021,4,13024,124,0,79843,April
Andorra,2021,5,13693,127,10.4,79843,May
Andorra,2021,6,13882,127,0,79843,June
Andorra,2021,7,14498,127,0,79843,July
Andorra,2021,8,15025,130,0,79843,August
Andorra,2021,9,15167,130,0,79843,September
Andorra,2021,10,15516,130,62.04,79843,October
Andorra,2021,11,16712,131,0,79843,November
Andorra,2021,12,21730,139,0,79843,December
Andorra,2022,1,35556,145,0,79843,January
Andorra,2022,2,37999,151,0,79843,February
Andorra,2022,3,39713,153,0,79843,March
Andorra,2022,4,41013,153,0,79843,April
Andorra,2022,5,42894,153,0,79843,May
Andorra,2022,6,43774,153,0,79843,June
Andorra,2022,7,45508,153,0,79843,July
Andorra,2022,8,46027,154,0,79843,August
Andorra,2022,9,46147,155,0,79843,September
Andorra,2022,10,46535,155,0,79843,October
Andorra,2022,11,46824,156,0,79843,November
Andorra,2022,12,47686,158,0,79843,December
Andorra,2023,1,47839,159,0,79843,January
Andorra,2023,2,47875,159,0,79843,February
Andorra,2023,3,47917,159,0,79843,March
Andorra,2023,4,47974,159,0,79843,April
Andorra,2023,5,48015,159,0,79843,May
Andorra,2023,6,48015,159,0,79843,June
Andorra,2023,7,48015,159,0,79843,July
Andorra,2023,8,48015,159,0,79843,August
Andorra,2023,9,48015,159,0,79843,September
Andorra,2023,10,48015,159,0,79843,October
Andorra,2023,11,48015,159,0,79843,November
Andorra,2023,12,48015,159,0,79843,December
Andorra,2024,1,48015,159,0,79843,January
Andorra,2024,2,48015,159,0,79843,February
Andorra,2024,3,48015,159,0,79843,March
Andorra,2024,4,48015,159,0,79843,April
Andorra,2024,5,48015,159,0,79843,May
Andorra,2024,6,48015,159,0,79843,June
Andorra,2024,7,48015,159,0,79843,July
Andorra,2024,8,48015,159,0,79843,August
Angola,2020,1,0,0,0,35588996,January
Angola,2020,2,0,0,0,35588996,February
Angola,2020,3,0,0,0,35588996,March
Angola,2020,4,25,0,0,35588996,April
Angola,2020,5,84,4,0,35588996,May
Angola,2020,6,259,10,0,35588996,June
Angola,2020,7,916,39,0,35588996,July
Angola,2020,8,2551,107,0,35588996,August
Angola,2020,9,4672,169,0,35588996,September
Angola,2020,10,9026,270,0,35588996,October
Angola,2020,11,15087,345,0,35588996,November
Angola,2020,12,17149,400,0,35588996,December
Angola,2021,1,19782,464,0,35588996,January
Angola,2021,2,20782,506,0,35588996,February
Angola,2021,3,22031,533,0,35588996,March
Angola,2021,4,25492,577,0,35588996,April
Angola,2021,5,34180,757,0.65,35588996,May
Angola,2021,6,38528,887,0,35588996,June
Angola,2021,7,41736,982,0,35588996,July
Angola,2021,8,47079,1192,0,35588996,August
Angola,2021,9,54795,1487,0,35588996,September
Angola,2021,10,64374,1708,0,35588996,October
Angola,2021,11,65139,1733,0,35588996,November
Angola,2021,12,71142,1746,0,35588996,December
Angola,2022,1,98057,1894,0,35588996,January
Angola,2022,2,98701,1899,0,35588996,February
Angola,2022,3,99106,1900,0,35588996,March
Angola,2022,4,99318,1900,0,35588996,April
Angola,2022,5,99761,1900,0,35588996,May
Angola,2022,6,101257,1900,0,35588996,June
Angola,2022,7,102475,1916,0,35588996,July
Angola,2022,8,103022,1917,0,35588996,August
Angola,2022,9,103131,1917,0,35588996,September
Angola,2022,10,103598,1917,0,35588996,October
Angola,2022,11,104659,1924,0,35588996,November
Angola,2022,12,105070,1929,0,35588996,December
Angola,2023,1,105184,1931,0,35588996,January
Angola,2023,2,105255,1933,0,35588996,February
Angola,2023,3,105316,1933,0,35588996,March
Angola,2023,4,105384,1934,24.69,35588996,April
Angola,2023,5,105819,1936,0,35588996,May
Angola,2023,6,105904,1936,0,35588996,June
Angola,2023,7,105931,1936,0,35588996,July
Angola,2023,8,105937,1936,0,35588996,August
Angola,2023,9,105962,1936,0,35588996,September
Angola,2023,10,105976,1936,0,35588996,October
Angola,2023,11,106124,1936,0,35588996,November
Angola,2023,12,106928,1937,27,35588996,December
Angola,2024,1,107292,1937,0,35588996,January
Angola,2024,2,107326,1937,0,35588996,February
Angola,2024,3,107357,1937,0,35588996,March
Angola,2024,4,107394,1937,0,35588996,April
Angola,2024,5,107454,1937,0,35588996,May
Angola,2024,6,107475,1937,0,35588996,June
Angola,2024,7,107481,1937,0,35588996,July
Angola,2024,8,107481,1937,0,35588996,August
Anguilla,2020,1,0,0,0,15877,January
Anguilla,2020,2,0,0,0,15877,February
Anguilla,2020,3,2,0,0,15877,March
Anguilla,2020,4,3,0,0,15877,April
Anguilla,2020,5,3,0,0,15877,May
Anguilla,2020,6,3,0,0,15877,June
Anguilla,2020,7,3,0,0,15877,July
Anguilla,2020,8,3,0,0,15877,August
Anguilla,2020,9,3,0,0,15877,September
Anguilla,2020,10,3,0,0,15877,October
Anguilla,2020,11,4,0,0,15877,November
Anguilla,2020,12,12,0,0,15877,December
Anguilla,2021,1,17,0,0,15877,January
Anguilla,2021,2,18,0,0,15877,February
Anguilla,2021,3,23,0,0,15877,March
Anguilla,2021,4,58,0,0,15877,April
Anguilla,2021,5,109,0,0,15877,May
Anguilla,2021,6,109,0,0,15877,June
Anguilla,2021,7,113,0,0,15877,July
Anguilla,2021,8,194,0,0,15877,August
Anguilla,2021,9,364,1,0,15877,September
Anguilla,2021,10,892,1,0,15877,October
Anguilla,2021,11,1334,3,0,15877,November
Anguilla,2021,12,1646,5,0,15877,December
Anguilla,2022,1,2324,8,0,15877,January
Anguilla,2022,2,2528,9,0,15877,February
Anguilla,2022,3,2633,9,0,15877,March
Anguilla,2022,4,2731,9,0,15877,April
Anguilla,2022,5,3203,9,0,15877,May
Anguilla,2022,6,3411,9,0,15877,June
Anguilla,2022,7,3580,10,0,15877,July
Anguilla,2022,8,3805,10,0,15877,August
Anguilla,2022,9,3858,12,65.14,15877,September
Anguilla,2022,10,3866,12,0,15877,October
Anguilla,2022,11,3866,12,0,15877,November
Anguilla,2022,12,3904,12,0,15877,December
Anguilla,2023,1,3904,12,0,15877,January
Anguilla,2023,2,3904,12,0,15877,February
Anguilla,2023,3,3904,12,0,15877,March
Anguilla,2023,4,3904,12,0,15877,April
Anguilla,2023,5,3904,12,0,15877,May
Anguilla,2023,6,3904,12,0,15877,June
Anguilla,2023,7,3904,12,0,15877,July
Anguilla,2023,8,3904,12,0,15877,August
Anguilla,2023,9,3904,12,0,15877,September
Anguilla,2023,10,3904,12,0,15877,October
Anguilla,2023,11,3904,12,0,15877,November
Anguilla,2023,12,3904,12,0,15877,December
Anguilla,2024,1,3904,12,0,15877,January
Anguilla,2024,2,3904,12,0,15877,February
Anguilla,2024,3,3904,12,0,15877,March
Anguilla,2024,4,3904,12,0,15877,April
Anguilla,2024,5,3904,12,0,15877,May
Anguilla,2024,6,3904,12,0,15877,June
Anguilla,2024,7,3904,12,0,15877,July
Anguilla,2024,8,3904,12,0,15877,August
Antigua and Barbuda,2020,1,0,0,0,93772,January
Antigua and Barbuda,2020,2,0,0,0,93772,February
Antigua and Barbuda,2020,3,7,0,0,93772,March
Antigua and Barbuda,2020,4,24,3,0,93772,April
Antigua and Barbuda,2020,5,25,3,0,93772,May
Antigua and Barbuda,2020,6,65,3,0,93772,June
Antigua and Barbuda,2020,7,82,3,0,93772,July
Antigua and Barbuda,2020,8,94,3,0,93772,August
Antigua and Barbuda,2020,9,98,3,0,93772,September
Antigua and Barbuda,2020,10,122,3,0,93772,October
Antigua and Barbuda,2020,11,141,4,0,93772,November
Antigua and Barbuda,2020,12,155,5,0,93772,December
Antigua and Barbuda,2021,1,218,7,0,93772,January
Antigua and Barbuda,2021,2,726,14,0,93772,February
Antigua and Barbuda,2021,3,1122,28,0,93772,March
Antigua and Barbuda,2021,4,1227,31,0,93772,April
Antigua and Barbuda,2021,5,1259,42,17.99,93772,May
Antigua and Barbuda,2021,6,1263,42,0,93772,June
Antigua and Barbuda,2021,7,1280,43,0,93772,July
Antigua and Barbuda,2021,8,1638,43,36.27,93772,August
Antigua and Barbuda,2021,9,2902,64,0,93772,September
Antigua and Barbuda,2021,10,4040,102,0,93772,October
Antigua and Barbuda,2021,11,4141,117,0,93772,November
Antigua and Barbuda,2021,12,4229,118,0,93772,December
Antigua and Barbuda,2022,1,6558,127,0,93772,January
Antigua and Barbuda,2022,2,7437,135,65.2,93772,February
Antigua and Barbuda,2022,3,7482,135,65.78,93772,March
Antigua and Barbuda,2022,4,7571,135,0,93772,April
Antigua and Barbuda,2022,5,8119,138,0,93772,May
Antigua and Barbuda,2022,6,8625,141,0,93772,June
Antigua and Barbuda,2022,7,8773,144,0,93772,July
Antigua and Barbuda,2022,8,8949,145,0,93772,August
Antigua and Barbuda,2022,9,9089,146,0,93772,September
Antigua and Barbuda,2022,10,9106,146,0,93772,October
Antigua and Barbuda,2022,11,9106,146,0,93772,November
Antigua and Barbuda,2022,12,9106,146,0,93772,December
Antigua and Barbuda,2023,1,9106,146,0,93772,January
Antigua and Barbuda,2023,2,9106,146,0,93772,February
Antigua and Barbuda,2023,3,9106,146,0,93772,March
Antigua and Barbuda,2023,4,9106,146,0,93772,April
Antigua and Barbuda,2023,5,9106,146,0,93772,May
Antigua and Barbuda,2023,6,9106,146,0,93772,June
Antigua and Barbuda,2023,7,9106,146,0,93772,July
Antigua and Barbuda,2023,8,9106,146,0,93772,August
Antigua and Barbuda,2023,9,9106,146,0,93772,September
Antigua and Barbuda,2023,10,9106,146,0,93772,October
Antigua and Barbuda,2023,11,9106,146,0,93772,November
Antigua and Barbuda,2023,12,9106,146,0,93772,December
Antigua and Barbuda,2024,1,9106,146,0,93772,January
Antigua and Barbuda,2024,2,9106,146,0,93772,February
Antigua and Barbuda,2024,3,9106,146,0,93772,March
Antigua and Barbuda,2024,4,9106,146,0,93772,April
Antigua and Barbuda,2024,5,9106,146,0,93772,May
Antigua and Barbuda,2024,6,9106,146,0,93772,June
Antigua and Barbuda,2024,7,9106,146,0,93772,July
Antigua and Barbuda,2024,8,9106,146,0,93772,August
Argentina,2020,1,0,0,0,45510324,January
Argentina,2020,2,0,0,0,45510324,February
Argentina,2020,3,1282,70,0,45510324,March
Argentina,2020,4,5464,411,0,45510324,April
Argentina,2020,5,22406,1306,0,45510324,May
Argentina,2020,6,73445,3500,0,45510324,June
Argentina,2020,7,189430,8474,0,45510324,July
Argentina,2020,8,451875,17491,0,45510324,August
Argentina,2020,9,759395,27057,0,45510324,September
Argentina,2020,10,1136236,36979,0,45510324,October
Argentina,2020,11,1461515,44081,0,45510324,November
Argentina,2020,12,1629908,47507,0,45510324,December
Argentina,2021,1,1993552,53716,0.23,45510324,January
Argentina,2021,2,2182953,57227,0.68,45510324,February
Argentina,2021,3,2400067,61341,1.56,45510324,March
Argentina,2021,4,2977690,72377,2.24,45510324,April
Argentina,2021,5,3872872,91177,6.59,45510324,May
Argentina,2021,6,4501629,103698,9.49,45510324,June
Argentina,2021,7,4929412,110905,16.2,45510324,July
Argentina,2021,8,5244899,115381,30.33,45510324,August
Argentina,2021,9,5318508,116434,45.38,45510324,September
Argentina,2021,10,5359226,116823,52.69,45510324,October
Argentina,2021,11,5399385,117182,61.21,45510324,November
Argentina,2021,12,5559916,117830,67.63,45510324,December
Argentina,2022,1,8400422,125514,71.84,45510324,January
Argentina,2022,2,8899363,128031,74.19,45510324,February
Argentina,2022,3,9017872,128299,75.17,45510324,March
Argentina,2022,4,9072230,128542,75.63,45510324,April
Argentina,2022,5,9230573,128889,75.99,45510324,May
Argentina,2022,6,9367172,129070,76.12,45510324,June
Argentina,2022,7,9560307,129369,76.21,45510324,July
Argentina,2022,8,9678225,129711,76.28,45510324,August
Argentina,2022,9,9708420,129897,76.34,45510324,September
Argentina,2022,10,9718875,129991,76.4,45510324,October
Argentina,2022,11,9727247,130025,76.44,45510324,November
Argentina,2022,12,9891139,130124,76.48,45510324,December
Argentina,2023,1,10037135,130421,76.54,45510324,January
Argentina,2023,2,10044125,130463,76.6,45510324,February
Argentina,2023,3,10044957,130472,76.63,45510324,March
Argentina,2023,4,10044957,130472,76.64,45510324,April
Argentina,2023,5,10044957,130472,76.66,45510324,May
Argentina,2023,6,10044957,130472,76.67,45510324,June
Argentina,2023,7,10044957,130472,76.68,45510324,July
Argentina,2023,8,10044957,130472,76.68,45510324,August
Argentina,2023,9,10044957,130472,76.69,45510324,September
Argentina,2023,10,10044957,130472,76.69,45510324,October
Argentina,2023,11,10044957,130472,76.69,45510324,November
Argentina,2023,12,10044957,130472,76.69,45510324,December
Argentina,2024,1,10066821,130526,0,45510324,January
Argentina,2024,2,10089748,130604,0,45510324,February
Argentina,2024,3,10098767,130644,0,45510324,March
Argentina,2024,4,10099818,130647,0,45510324,April
Argentina,2024,5,10100226,130655,0,45510324,May
Argentina,2024,6,10100828,130659,0,45510324,June
Argentina,2024,7,10101164,130662,0,45510324,July
Argentina,2024,8,10101218,130663,0,45510324,August
Armenia,2020,1,0,0,0,2780472,January
Armenia,2020,2,0,0,0,2780472,February
Armenia,2020,3,424,1,0,2780472,March
Armenia,2020,4,1746,28,0,2780472,April
Armenia,2020,5,9282,131,0,2780472,May
Armenia,2020,6,24645,426,0,2780472,June
Armenia,2020,7,37317,705,0,2780472,July
Armenia,2020,8,43750,877,0,2780472,August
Armenia,2020,9,49400,951,0,2780472,September
Armenia,2020,10,77837,1180,0,2780472,October
Armenia,2020,11,134768,2142,0,2780472,November
Armenia,2020,12,157834,2768,0,2780472,December
Armenia,2021,1,167026,3080,0,2780472,January
Armenia,2021,2,172058,3192,0,2780472,February
Armenia,2021,3,190317,3464,0,2780472,March
